idx,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,samples,SR,session_id,notes
81, -0.3616023659706116, 0.009329631924629211, 0.17296434938907623, -1.6481297016143799, -0.040544163435697556, 1.6883883476257324, 0.1247330829501152, 0.0, 80896, 16000, 8, 
82, -0.24802501499652863, 0.008880696259438992, 0.17469723522663116, -1.6451761722564697, -0.04054512828588486, 1.689607858657837, 0.12412875890731812, 0.0, 80896, 16000, 8, 
83, -0.1397593915462494, 0.009018958546221256, 0.17284922301769257, -1.6464293003082275, -0.04051252827048302, 1.6884377002716064, 0.12492632120847702, 0.0, 80896, 16000, 8, 
84, -0.008770863525569439, 0.00935047771781683, 0.1732381135225296, -1.6465983390808105, -0.040498871356248856, 1.6884305477142334, 0.12491454184055328, 0.0, 80896, 16000, 8, 
85, 0.17857621610164642, 0.008175416849553585, 0.17302392423152924, -1.646776795387268, -0.04054741561412811, 1.688422441482544, 0.12599343061447144, 0.0, 80896, 16000, 8, 
86, 0.3451513350009918, 0.008674859069287777, 0.17454740405082703, -1.6467814445495605, -0.04052824154496193, 1.6885175704956055, 0.1259632408618927, 0.0, 80896, 16000, 8, 
87, 0.47049546241760254, 0.009876260533928871, 0.17607282102108002, -1.6498053073883057, -0.04050713777542114, 1.6884238719940186, 0.12592081725597382, 0.0, 80896, 16000, 8, 
88, 0.5429902076721191, 0.021282149478793144, 0.1810120791196823, -1.6499425172805786, -0.040473584085702896, 1.688503384590149, 0.12508781254291534, 0.0, 80896, 16000, 8, 
89, 0.7765659689903259, 0.034018829464912415, -0.04947548732161522, -1.6353384256362915, -0.04035985469818115, 1.6895911693572998, 0.19790801405906677, 0.0, 80896, 16000, 8, 
90, 0.6814320087432861, 0.033563777804374695, -0.05078909918665886, -1.6353089809417725, -0.040366578847169876, 1.6895440816879272, 0.24047276377677917, 0.0, 80896, 16000, 9, 
91, 0.5382741093635559, 0.03364891931414604, -0.053450170904397964, -1.632803201675415, -0.04040994495153427, 1.6940761804580688, 0.24046488106250763, 0.0, 80896, 16000, 9, 
92, 0.3765222430229187, 0.03185052052140236, -0.05827243998646736, -1.6321886777877808, -0.04042084887623787, 1.6939001083374023, 0.24100109934806824, 0.0, 80896, 16000, 9, 
93, 0.1452670395374298, 0.03175458684563637, -0.06969194859266281, -1.6317635774612427, -0.04073602333664894, 1.693660855293274, 0.2690333127975464, 0.0, 80896, 16000, 9, 
94, -0.04126577079296112, 0.029256068170070648, -0.07149418443441391, -1.6316778659820557, -0.04074116051197052, 1.6936873197555542, 0.3229249119758606, 0.0, 80896, 16000, 9, 
95, -0.28297263383865356, 0.029686516150832176, -0.0629751980304718, -1.6210252046585083, -0.04064891114830971, 1.6958632469177246, 0.3225588798522949, 0.0, 80896, 16000, 9, 
96, -0.43514013290405273, 0.030698200687766075, -0.0652661919593811, -1.621267557144165, -0.04065309837460518, 1.6958719491958618, 0.324908047914505, 0.0, 80896, 16000, 9, 
97, -0.6026173830032349, 0.0359770767390728, -0.06328287720680237, -1.621502161026001, -0.04065309837460518, 1.6958671808242798, 0.32443130016326904, 0.0, 80896, 16000, 9, 
98, -0.8112874627113342, 0.0385148711502552, -0.050218015909194946, -1.6218934059143066, -0.04065309837460518, 1.6961519718170166, 0.3237207233905792, 0.0, 80896, 16000, 9, 
99, -0.2942257225513458, 0.037180330604314804, -0.03563205897808075, -1.6225473880767822, -0.04064555466175079, 1.6955204010009766, 0.3242645561695099, 0.0, 80896, 16000, 9, 
100, 0.8095526099205017, 0.005886879749596119, 0.0030575015116482973, -1.5523121356964111, -0.04221920296549797, 1.547815203666687, -0.028604816645383835, 0.0, 80896, 16000, 10, different day
101, 0.7486055493354797, 0.0034378007985651493, -0.0005680535105057061, -1.5497428178787231, -0.042209442704916, 1.5478248596191406, -0.028612662106752396, 0.0, 80896, 16000, 10, different day
102, 0.6898088455200195, 0.005661462899297476, -0.00045392700121738017, -1.5497136116027832, -0.04221104085445404, 1.547864317893982, -0.028620854020118713, 0.0, 80896, 16000, 10, different day
103, 0.6164405345916748, 0.00628635473549366, 0.018385104835033417, -1.5497353076934814, -0.04220689833164215, 1.5478699207305908, -0.02862335555255413, 0.0, 80896, 16000, 10, different day
104, 0.5863035321235657, 0.00478561082854867, 0.011475790292024612, -1.549649715423584, -0.0422138012945652, 1.547886610031128, -0.02861184813082218, 0.0, 80896, 16000, 10, different day
105, 0.53707355260849, 0.0033062309958040714, 0.013887368142604828, -1.5493519306182861, -0.04220698028802872, 1.5479286909103394, -0.028612662106752396, 0.0, 80896, 16000, 10, different day
106, 0.4788673520088196, 0.0027114776894450188, 0.014548050239682198, -1.546349287033081, -0.04221124202013016, 1.5484349727630615, -0.028615610674023628, 0.0, 80896, 16000, 10, different day
107, 0.4325812757015228, 0.002738241571933031, 0.015733689069747925, -1.5400882959365845, -0.04221145436167717, 1.5484446287155151, -0.028613373637199402, 0.0, 80896, 16000, 10, different day
