Modelname,Rotated,True,Predicted
Linear,0,-1.314342857142857,-0.7431773114576431
Linear,1,-1.314342857142857,-0.7286330574665828
Linear,0,-1.314342857142857,-0.7827178423364217
Linear,1,-1.314342857142857,-0.9918510462091162
Linear,0,-1.314342857142857,-0.8556164797934477
Linear,1,-1.314342857142857,-0.8908982290119494
Linear,0,-1.314342857142857,-0.5336846346299658
Linear,1,-1.314342857142857,-0.9005565801783749
Linear,0,-1.314342857142857,-0.7595526520693615
Linear,1,-1.314342857142857,-0.8563430922719658
Linear,0,-1.314342857142857,-1.1034713771984386
Linear,1,-1.314342857142857,-0.5937367905173765
Linear,0,-1.314342857142857,-1.0077604653873296
Linear,1,-1.314342857142857,-0.76310789034144
Linear,0,-1.314342857142857,-1.1342077678650149
Linear,1,-1.314342857142857,-1.2162404578168475
Linear,0,-1.314342857142857,-0.7867272839152498
Linear,1,-1.314342857142857,-0.4326907870812603
Linear,0,-1.314342857142857,-0.7434316433012977
Linear,1,-1.314342857142857,-1.0788250598682283
Linear,0,-1.314342857142857,-0.6863777106824707
Linear,1,-1.314342857142857,-0.9589015989444877
Linear,0,-1.314342857142857,-0.5902851100312629
Linear,1,-1.314342857142857,-1.1707361801273755
Linear,0,-1.314342857142857,-0.7269691870749493
Linear,1,-1.314342857142857,-0.684196905598165
Linear,0,-1.314342857142857,-0.8284959147480933
Linear,1,-1.314342857142857,-1.1418898667525554
Linear,0,-1.314342857142857,-0.6153392959318982
Linear,1,-1.314342857142857,-0.7702066833750175
Linear,0,-1.314342857142857,-1.0036614378546607
Linear,1,-1.314342857142857,-0.9799717198030247
Linear,0,-1.314342857142857,-0.6635677647533458
Linear,1,-1.314342857142857,-0.9906388534401526
Linear,0,-1.314342857142857,-0.7621825362735563
Linear,1,-1.314342857142857,-0.6638296850886797
Linear,0,-1.314342857142857,-0.8539466579753084
Linear,1,-1.314342857142857,-0.5944836067027551
Linear,0,-1.314342857142857,-0.7600626188513713
Linear,1,-1.314342857142857,-0.14246931431831605
Linear,0,-1.314342857142857,-0.8648467433465751
Linear,1,-1.314342857142857,-0.9679195028388137
Linear,0,-1.314342857142857,-0.578702297922277
Linear,1,-1.314342857142857,-0.9531994118505123
Linear,0,-1.314342857142857,-0.7563282041303055
Linear,1,-1.314342857142857,-0.6319610719327026
Linear,0,-1.314342857142857,-0.7442460683339478
Linear,1,-1.314342857142857,-0.6943185015988037
Linear,0,-1.314342857142857,-0.9585370534329163
Linear,1,-1.314342857142857,-0.8456912150581816
Linear,0,-1.314342857142857,-0.6340836518609098
Linear,1,-1.314342857142857,-0.4578744639005229
Linear,0,-1.2502285714285717,-0.9062340896052657
Linear,1,-1.2502285714285717,-1.0629093601853503
Linear,0,-1.2502285714285717,-1.1188928811192829
Linear,1,-1.2502285714285717,-0.748110469079953
Linear,0,-1.2502285714285717,-0.807649899895342
Linear,1,-1.2502285714285717,-0.7033589900460572
Linear,0,-1.2502285714285717,-0.7758758783943269
Linear,1,-1.2502285714285717,-0.9538090299663002
Linear,0,-1.2502285714285717,-0.5207243438076301
Linear,1,-1.2502285714285717,-0.8774963115456569
Linear,0,-1.2502285714285717,-0.6458568212255231
Linear,1,-1.2502285714285717,-0.6268550184320824
Linear,0,-1.2502285714285717,-0.35673021999025606
Linear,1,-1.2502285714285717,-0.9256225439722886
Linear,0,-1.2502285714285717,-1.0538637820418189
Linear,1,-1.2502285714285717,-1.237998363919388
Linear,0,-1.2502285714285717,-0.8841688970335257
Linear,1,-1.2502285714285717,-0.9383545476349203
Linear,0,-1.2502285714285717,-0.9910711564022345
