Iteration,Modelname,Metricname,Joint,Result
1,1-Channel CNN,Standard deviation per Recording (avg),0,0.1564909666776657
1,1-Channel CNN,Standard deviation per Recording (avg),3,0.2553946077823639
1,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.00971628449280995
1,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.08083948698017877
1,2-Channel CNN,Mean Square Error,0,0.008656705265548376
1,2-Channel CNN,Mean Square Error,3,0.04555439908468872
1,2-Channel CNN,R squared,0,0.9905206000562121
1,2-Channel CNN,R squared,3,0.9084419841012894
1,2-Channel CNN,Standard Deviation of Error,0,0.09237670536640066
1,2-Channel CNN,Standard Deviation of Error,3,0.21190459820533963
1,2-Channel CNN,Standard deviation per Recording (avg),0,0.08431006968021393
1,2-Channel CNN,Standard deviation per Recording (avg),3,0.18957604467868805
1,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.001165954139137194
1,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.029537504858142247
1,3-Channel CNN,Mean Square Error,0,0.007329197097468822
1,3-Channel CNN,Mean Square Error,3,0.029963374438826212
1,3-Channel CNN,R squared,0,0.9919742686827683
1,3-Channel CNN,R squared,3,0.9397777784720872
1,3-Channel CNN,Standard Deviation of Error,0,0.08075876033141166
1,3-Channel CNN,Standard Deviation of Error,3,0.17275834785967095
1,3-Channel CNN,Standard deviation per Recording (avg),0,0.07611612230539322
1,3-Channel CNN,Standard deviation per Recording (avg),3,0.15631692111492157
1,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.000388651379712398
1,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.006995724834823164
1,4-Channel CNN,Mean Square Error,0,0.005529921510160047
1,4-Channel CNN,Mean Square Error,3,0.028676078865111768
1,4-Channel CNN,R squared,0,0.993944539401014
1,4-Channel CNN,R squared,3,0.9423650638050662
1,4-Channel CNN,Standard Deviation of Error,0,0.07344879036366986
1,4-Channel CNN,Standard Deviation of Error,3,0.1691125622981608
1,4-Channel CNN,Standard deviation per Recording (avg),0,0.06924175471067429
1,4-Channel CNN,Standard deviation per Recording (avg),3,0.15496870875358582
1,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
1,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.012436844150796735
2,kNN,Mean Square Error,0,0.1606844928099495
2,kNN,Mean Square Error,3,0.442750019432569
2,kNN,R squared,0,0.8100788417315361
2,kNN,R squared,3,0.2591906064054814
2,kNN,Standard Deviation of Error,0,0.3612599696229558
2,kNN,Standard Deviation of Error,3,0.5989811837633892
2,kNN,Standard deviation per Recording (avg),0,0.20848508597174786
2,kNN,Standard deviation per Recording (avg),3,0.23295697148662423
2,kNN,Ratio of Outliers (>= 0.5 rad),0,0.14729887291099883
2,kNN,Ratio of Outliers (>= 0.5 rad),3,0.4220753983676642
2,Linear,Mean Square Error,0,0.10193433909885279
2,Linear,Mean Square Error,3,0.16529764306478475
2,Linear,R squared,0,0.8795186305135118
2,Linear,R squared,3,0.7234239608202295
2,Linear,Standard Deviation of Error,0,0.31888780374072806
2,Linear,Standard Deviation of Error,3,0.4065681025709657
2,Linear,Standard deviation per Recording (avg),0,0.25662721847800146
2,Linear,Standard deviation per Recording (avg),3,0.31726624977887236
2,Linear,Ratio of Outliers (>= 0.5 rad),0,0.116206762534007
2,Linear,Ratio of Outliers (>= 0.5 rad),3,0.2312475709288768
2,3-Layer FC,Mean Square Error,0,0.04802531285976248
2,3-Layer FC,Mean Square Error,3,0.11955616747723621
2,3-Layer FC,R squared,0,0.9432364450045632
2,3-Layer FC,R squared,3,0.7999586040836186
2,3-Layer FC,Standard Deviation of Error,0,0.2189578394458748
2,3-Layer FC,Standard Deviation of Error,3,0.3457683634425218
2,3-Layer FC,Standard deviation per Recording (avg),0,0.18488940596580505
2,3-Layer FC,Standard deviation per Recording (avg),3,0.2730478346347809
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.036921881072677805
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.13991449669646328
2,4-Layer FC,Mean Square Error,0,0.04549024225359235
2,4-Layer FC,Mean Square Error,3,0.11299620842883401
2,4-Layer FC,R squared,0,0.9462327736321527
2,4-Layer FC,R squared,3,0.8109347284683898
2,4-Layer FC,Standard Deviation of Error,0,0.213140613715002
2,4-Layer FC,Standard Deviation of Error,3,0.33614599790561306
2,4-Layer FC,Standard deviation per Recording (avg),0,0.1657300591468811
2,4-Layer FC,Standard deviation per Recording (avg),3,0.25925931334495544
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.031869413136416634
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.12864360668480374
2,5-Layer FC,Mean Square Error,0,0.05050443750161406
2,5-Layer FC,Mean Square Error,3,0.1176460795354134
2,5-Layer FC,R squared,0,0.9403062417519741
2,5-Layer FC,R squared,3,0.8031545634913844
2,5-Layer FC,Standard Deviation of Error,0,0.22458263391033437
2,5-Layer FC,Standard Deviation of Error,3,0.34286070602070184
2,5-Layer FC,Standard deviation per Recording (avg),0,0.16048765182495117
2,5-Layer FC,Standard deviation per Recording (avg),3,0.2548052668571472
2,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.035367275553828216
2,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.1344733773804897
2,1-Channel CNN,Mean Square Error,0,0.030885658576181717
2,1-Channel CNN,Mean Square Error,3,0.09457985995324344
2,1-Channel CNN,R squared,0,0.9634946723974752
2,1-Channel CNN,R squared,3,0.8417489652783905
2,1-Channel CNN,Standard Deviation of Error,0,0.1742078750695901
2,1-Channel CNN,Standard Deviation of Error,3,0.3073880698879121
2,1-Channel CNN,Standard deviation per Recording (avg),0,0.1591077744960785
2,1-Channel CNN,Standard deviation per Recording (avg),3,0.2585468292236328
2,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.012825495530509134
2,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.08861251457442675
2,2-Channel CNN,Mean Square Error,0,0.007384910100097317
2,2-Channel CNN,Mean Square Error,3,0.04314404266481703
2,2-Channel CNN,R squared,0,0.9912713999005627
2,2-Channel CNN,R squared,3,0.9278113818612561
2,2-Channel CNN,Standard Deviation of Error,0,0.08593054432659114
2,2-Channel CNN,Standard Deviation of Error,3,0.2075771600342049
2,2-Channel CNN,Standard deviation per Recording (avg),0,0.0802600085735321
2,2-Channel CNN,Standard deviation per Recording (avg),3,0.19317321479320526
2,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.0
2,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.02487368830159347
2,3-Channel CNN,Mean Square Error,0,0.007143602146076364
2,3-Channel CNN,Mean Square Error,3,0.02619951931613769
2,3-Channel CNN,R squared,0,0.9915566140200188
