,Iteration,Modelname,Metricname,Result
198,1,16,Standard deviation per Recording (avg),0.11756999629439668
199,1,16,Ratio of Outliers (>= 0.5 rad),0.19620958751393533
200,1,17,Mean Square Error,0.1760590630034768
201,1,17,R squared,-0.04246772534353083
202,1,17,Standard Deviation of Error,0.33090002093083865
203,1,17,Standard deviation per Recording (avg),0.11551200222100347
204,1,17,Ratio of Outliers (>= 0.5 rad),0.19286510590858416
205,1,18,Mean Square Error,0.17637536780865207
206,1,18,R squared,-0.04434060564370479
207,1,18,Standard Deviation of Error,0.3306873364568199
208,1,18,Standard deviation per Recording (avg),0.11405984456156841
209,1,18,Ratio of Outliers (>= 0.5 rad),0.19732441471571907
210,1,19,Mean Square Error,0.17609372572298426
211,1,19,R squared,-0.04267296763973949
212,1,19,Standard Deviation of Error,0.3296931718118273
213,1,19,Standard deviation per Recording (avg),0.11220293791176825
214,1,19,Ratio of Outliers (>= 0.5 rad),0.19620958751393533
215,1,20,Mean Square Error,0.176450194017053
216,1,20,R squared,-0.04478366097943742
217,1,20,Standard Deviation of Error,0.3297497200914829
218,1,20,Standard deviation per Recording (avg),0.11150791061690778
219,1,20,Ratio of Outliers (>= 0.5 rad),0.19620958751393533
220,1,21,Mean Square Error,0.17667146600829942
221,1,21,R squared,-0.046093840106043116
222,1,21,Standard Deviation of Error,0.32929464980836426
223,1,21,Standard deviation per Recording (avg),0.11087732932497754
224,1,21,Ratio of Outliers (>= 0.5 rad),0.19843924191750278
225,1,22,Mean Square Error,0.1767638163698821
226,1,22,R squared,-0.04664065814387297
227,1,22,Standard Deviation of Error,0.32866132136945886
228,1,22,Standard deviation per Recording (avg),0.10921524037423513
229,1,22,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
230,1,23,Mean Square Error,0.17700111595937837
231,1,23,R squared,-0.04804573868370454
232,1,23,Standard Deviation of Error,0.3284592356679447
233,1,23,Standard deviation per Recording (avg),0.10821924544150371
234,1,23,Ratio of Outliers (>= 0.5 rad),0.1995540691192865
235,1,24,Mean Square Error,0.17720775629318256
236,1,24,R squared,-0.04926928193714564
237,1,24,Standard Deviation of Error,0.32758184956429165
238,1,24,Standard deviation per Recording (avg),0.1067044559639896
239,1,24,Ratio of Outliers (>= 0.5 rad),0.20066889632107024
240,2,1,Mean Square Error,0.1535072251582984
241,2,1,R squared,0.33862371148137693
242,2,1,Standard Deviation of Error,0.35489328874541054
243,2,1,Standard deviation per Recording (avg),0.24605921298338168
244,2,1,Ratio of Outliers (>= 0.5 rad),0.1282051282051282
245,2,2,Mean Square Error,0.12366455836724828
246,2,2,R squared,0.46719897679158906
247,2,2,Standard Deviation of Error,0.3088803734375168
248,2,2,Standard deviation per Recording (avg),0.19386049734777622
249,2,2,Ratio of Outliers (>= 0.5 rad),0.12151616499442586
250,2,3,Mean Square Error,0.1175402354969749
