Iteration,Modelname,Metricname,Result
2,3-Layer FC,Standard deviation per Recording (avg),0.123656116425991
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0055741360089186
3,3-Channel CNN,Mean Square Error,0.0170388623685499
2,4-Layer FC,Mean Square Error,0.0329424082420106
2,4-Layer FC,R squared,0.8580696923190492
3,3-Channel CNN,R squared,0.8824841933300503
2,4-Layer FC,Standard Deviation of Error,0.1791702397800487
3,3-Channel CNN,Standard Deviation of Error,0.1305075811395841
3,3-Channel CNN,Standard deviation per Recording (avg),0.1071815267205238
2,4-Layer FC,Standard deviation per Recording (avg),0.1191504746675491
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
3,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0011148272017837
2,5-Layer FC,Mean Square Error,0.0320564846238151
3,4-Channel CNN,Mean Square Error,0.0098489536070471
2,5-Layer FC,R squared,0.8618866388758573
3,4-Channel CNN,R squared,0.9320724762632404
3,4-Channel CNN,Standard Deviation of Error,0.0991848696265827
2,5-Layer FC,Standard Deviation of Error,0.1779688242134819
3,4-Channel CNN,Standard deviation per Recording (avg),0.0829185992479324
2,5-Layer FC,Standard deviation per Recording (avg),0.1175337061285972
2,5-Layer FC,Ratio of Outliers (>= 0.5 rad),0.0055741360089186
3,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0
2,1-Channel CNN,Mean Square Error,0.0415053745165233
2,1-Channel CNN,R squared,0.8211766871363466
2,1-Channel CNN,Standard Deviation of Error,0.1984493038455927
2,1-Channel CNN,Standard deviation per Recording (avg),0.1658043414354324
2,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0289855072463768
2,2-Channel CNN,Mean Square Error,0.0197959266422913
2,2-Channel CNN,R squared,0.9147104869040243
2,2-Channel CNN,Standard Deviation of Error,0.140682800913484
2,2-Channel CNN,Standard deviation per Recording (avg),0.1165015622973442
2,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0066889632107023
4,3-Channel CNN,Mean Square Error,0.0240689577326516
4,3-Channel CNN,R squared,0.905911029396524
4,3-Channel CNN,Standard Deviation of Error,0.1549125970323195
4,3-Channel CNN,Standard deviation per Recording (avg),0.0995138436555862
4,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0.0089186176142697
3,Linear,Mean Square Error,0.0436025835526698
