iteration,model_id,true_q0,true_q3,pred_q0,pred_q3
0,0,-0.5708,-0.3,0.1092,-0.77
0,0,-0.5708,-0.3,0.4692,-0.56
0,0,0.4292,-0.3,-0.4308,-2.1
0,0,0.4292,-0.3,0.3092,-1.26
0,0,0.4292,-0.3,-0.2508,-1.36
0,0,0.4292,-0.3,-0.5908,-1.27
0,0,0.4292,-0.3,0.3392,-0.84
0,0,0.4292,-0.3,-0.0608,-0.94
0,0,0.4292,-0.3,-0.1908,-0.61
0,0,0.4292,-0.3,-0.3508,-0.81
0,0,0.4292,-0.3,-0.1708,-0.89
0,0,0.4292,-0.3,-0.0408,-0.55
0,0,0.4292,-0.3,-0.2708,-0.91
0,0,0.4292,-0.3,-0.0108,-0.9
0,0,0.4292,-0.3,-0.0708,-0.81
0,0,0.4292,-0.3,0.3392,-0.6
0,0,0.4292,-0.3,-0.1908,-1.23
0,0,0.4292,-0.3,-0.0608,-0.57
0,0,0.4292,-0.3,-0.0308,-1.02
0,0,0.4292,-0.3,-0.3408,-0.8
0,0,0.4292,-0.3,0.2292,-1.16
0,0,0.4292,-0.3,0.4492,-0.64
0,0,0.4292,-0.3,0.0992,-0.85
0,0,0.4292,-0.3,-0.1108,-0.82
0,0,0.4292,-0.3,-0.1508,-0.54
0,0,0.4292,-0.3,0.1192,-0.97
0,0,0.4292,-0.3,-0.0508,-0.53
0,0,0.4292,-0.3,-0.1108,-0.56
0,0,0.4292,-0.3,-0.4708,-0.77
0,0,0.4292,-0.3,-0.1508,-0.8
0,0,0.4292,-0.3,0.0592,-0.6
0,0,0.4292,-0.3,0.0492,-0.85
0,0,0.4292,-0.3,-0.5408,-0.95
0,0,0.8292,-0.3,-0.8208,-0.7
0,0,0.8292,-0.3,-0.8308,-1.07
0,0,0.8292,-0.3,-0.6708,-1.11
0,0,0.8292,-0.3,-0.6908,-1.04
0,0,0.8292,-0.3,-0.6308,-1.45
0,0,0.8292,-0.3,-0.8808,-0.71
0,0,0.8292,-0.3,-0.7508,-0.92
0,0,0.8292,-0.3,-1.0008,-0.82
0,0,0.8292,-0.3,-0.7808,-0.91
0,0,0.8292,-0.3,-0.7208,-0.59
0,0,0.8292,-0.3,-0.7908,-0.76
0,0,0.8292,-0.3,-0.6908,-0.65
0,0,0.8292,-0.3,-0.8108,-1.17
0,0,0.8292,-0.3,-0.9008,-0.88
0,0,0.8292,-0.3,-0.6908,-0.7
0,0,0.8292,-0.3,-0.8908,-0.87
0,0,0.8292,-0.3,-0.9608,-1
0,0,0.8292,-0.3,-0.7408,-1.14
0,0,0.8292,-0.3,-0.9008,-0.71
0,0,0.8292,-0.3,-0.9008,-0.78
0,0,0.8292,-0.3,-1.1008,-0.9
0,0,0.8292,-0.3,-0.8808,-0.64
0,0,0.8292,-0.3,-0.6108,-0.66
0,0,0.8292,-0.3,-0.8408,-1.06
0,0,0.8292,-0.3,-0.8308,-0.86
0,0,0.8292,-0.3,-0.9108,-0.9
0,0,0.8292,-0.3,-0.8308,-0.89
0,0,0.8292,-0.3,-0.8508,-0.77
0,0,0.8292,-0.3,-0.8908,-0.65
0,0,0.8292,-0.3,-0.8608,-0.76
0,0,0.8292,-0.3,-0.8608,-0.94
0,0,1.2292,-0.3,-1.4108,-0.82
0,0,1.2292,-0.3,-1.1708,-0.82
0,0,1.2292,-0.3,-1.3008,-0.81
0,0,1.2292,-0.3,-1.2208,-0.99
0,0,1.2292,-0.3,-1.2008,-0.93
0,0,1.2292,-0.3,-1.2008,-1.13
0,0,1.2292,-0.3,-1.2408,-1.02
0,0,1.2292,-0.3,-1.2508,-0.84
0,0,1.2292,-0.3,-1.2608,-0.67
0,0,1.2292,-0.3,-1.2108,-1.14
0,0,1.2292,-0.3,-1.2508,-0.91
0,0,1.2292,-0.3,-1.1908,-1.36
0,0,1.2292,-0.3,-1.2408,-1
0,0,1.2292,-0.3,-1.1808,-0.99
0,0,1.2292,-0.3,-1.1208,-1.04
0,0,1.2292,-0.3,-1.1608,-0.9
0,0,1.2292,-0.3,-1.0608,-1.16
0,0,1.2292,-0.3,-1.1508,-0.8
0,0,1.2292,-0.3,-1.2308,-0.97
0,0,1.2292,-0.3,-1.2608,-0.74
0,0,1.2292,-0.3,-1.0908,-1.18
0,0,1.2292,-0.3,-1.1908,-0.86
0,0,1.2292,-0.3,-1.2108,-0.87
0,0,1.2292,-0.3,-1.1708,-0.84
0,0,1.2292,-0.3,-1.0808,-0.89
0,0,1.2292,-0.3,-1.1508,-1.11
0,0,1.2292,-0.3,-1.2408,-0.67
0,0,1.2292,-0.3,-1.1308,-0.79
0,0,1.2292,-0.3,-1.2708,-0.79
0,0,1.2292,-0.3,-1.2008,-0.9
0,0,1.2292,-0.3,-1.0308,-1.19
0,0,1.0292,-0.4,-0.1508,-1
0,0,1.0292,-0.4,0.2792,-0.87
0,0,1.0292,-0.4,0.6692,-1.39
0,0,1.0292,-0.4,0.2892,-1.13
0,0,1.0292,-0.4,0.1692,-0.73
0,0,1.0292,-0.4,0.4292,-0.81
0,0,1.0292,-0.4,0.6392,-0.68
0,0,1.0292,-0.4,0.3492,-0.68
0,0,1.0292,-0.4,0.4492,-0.98
0,0,1.0292,-0.4,0.6592,-0.92
0,0,1.0292,-0.4,0.4692,-1.02
0,0,1.0292,-0.4,0.4692,-1.37
0,0,1.0292,-0.4,0.2592,-0.71
0,0,1.0292,-0.4,0.5292,-1.51
0,0,1.0292,-0.4,0.5792,-0.76
0,0,1.0292,-0.4,0.5092,-0.95
0,0,1.0292,-0.4,0.4992,-1.37
0,0,1.0292,-0.4,0.7092,-0.61
0,0,1.0292,-0.4,0.4192,-0.71
0,0,1.0292,-0.4,0.4592,-0.7
0,0,1.0292,-0.4,0.6292,-0.9
0,0,1.0292,-0.4,0.3992,-0.8
0,0,1.0292,-0.4,0.5592,-1.15
0,0,1.0292,-0.4,0.6592,-0.58
0,0,1.0292,-0.4,0.5292,-0.95
0,0,1.0292,-0.4,0.5292,-0.82
0,0,1.0292,-0.4,0.4992,-1.04
0,0,1.0292,-0.4,0.4492,-0.67
0,0,1.0292,-0.4,0.4492,-0.44
0,0,1.0292,-0.4,0.5992,-0.77
0,0,1.0292,-0.4,0.3892,-0.63
0,0,-0.2708,-0.4,-1.0208,-0.95
0,0,-0.2708,-0.4,-0.9408,-1.29
0,0,-0.2708,-0.4,-0.7908,-0.97
0,0,-0.2708,-0.4,-0.8208,-0.9
0,0,-0.2708,-0.4,-0.8408,-0.69
0,0,-0.2708,-0.4,-1.1008,-1.33
0,0,-0.2708,-0.4,-0.7408,-0.74
0,0,-0.2708,-0.4,-1.1408,-1.13
0,0,-0.2708,-0.4,-0.7508,-0.98
0,0,-0.2708,-0.4,-0.6808,-0.92
0,0,-0.2708,-0.4,-0.7808,-0.77
0,0,-0.2708,-0.4,-0.8608,-0.71
0,0,-0.2708,-0.4,-1.0608,-0.85
0,0,-0.2708,-0.4,-0.8308,-0.98
0,0,-0.2708,-0.4,-0.8508,-0.76
0,0,-0.2708,-0.4,-0.7308,-0.89
0,0,-0.2708,-0.4,-0.9708,-0.97
0,0,-0.2708,-0.4,-0.7808,-1.22
0,0,-0.2708,-0.4,-0.7708,-1.28
0,0,-0.2708,-0.4,-0.8408,-0.85
0,0,-0.2708,-0.4,-0.6308,-0.66
0,0,-0.2708,-0.4,-0.9208,-0.99
0,0,-0.2708,-0.4,-0.9708,-0.98
0,0,-0.2708,-0.4,-0.9208,-0.93
0,0,-0.2708,-0.4,-0.9908,-1.01
0,0,-0.2708,-0.4,-0.8908,-0.97
0,0,-0.2708,-0.4,-0.8808,-1.07
0,0,-0.2708,-0.4,-0.7108,-0.86
0,0,-0.2708,-0.4,-0.8708,-1.13
0,0,-0.2708,-0.4,-0.9308,-1.24
0,0,-0.2708,-0.4,-1.0108,-1.1
0,0,-0.6708,-0.4,-1.5108,-0.7
0,0,-0.6708,-0.4,-1.3808,-0.59
0,0,-0.6708,-0.4,-1.4908,-0.81
0,0,-0.6708,-0.4,-1.4008,-0.62
0,0,-0.6708,-0.4,-1.3408,-0.85
0,0,-0.6708,-0.4,-1.3608,-0.98
0,0,-0.6708,-0.4,-1.4908,-0.87
0,0,-0.6708,-0.4,-1.4108,-0.83
0,0,-0.6708,-0.4,-1.3208,-0.83
0,0,-0.6708,-0.4,-1.3408,-0.88
0,0,-0.6708,-0.4,-1.4608,-0.81
0,0,-0.6708,-0.4,-1.4308,-0.87
0,0,-0.6708,-0.4,-1.4108,-1.06
0,0,-0.6708,-0.4,-1.2608,-0.95
0,0,-0.6708,-0.4,-1.4608,-0.74
0,0,-0.6708,-0.4,-1.4408,-0.81
0,0,-0.6708,-0.4,-1.3908,-0.65
0,0,-0.6708,-0.4,-1.4108,-0.77
0,0,-0.6708,-0.4,-1.4508,-0.71
0,0,-0.6708,-0.4,-1.4908,-0.56
0,0,-0.6708,-0.4,-1.4208,-0.74
0,0,-0.6708,-0.4,-1.4508,-0.59
0,0,-0.6708,-0.4,-1.4108,-0.73
0,0,-0.6708,-0.4,-1.3108,-0.58
0,0,-0.6708,-0.4,-1.1508,-0.79
0,0,-0.6708,-0.4,-1.4608,-0.7
0,0,-0.6708,-0.4,-1.3008,-0.86
0,0,-0.6708,-0.4,-1.3208,-1
0,0,-0.6708,-0.4,-1.3408,-1.26
0,0,-0.6708,-0.4,-1.4708,-0.84
0,0,-0.6708,-0.4,-1.3708,-0.83
0,0,-1.2708,-0.4,-0.3808,-0.96
0,0,-1.2708,-0.4,-0.6508,-0.99
0,0,-1.2708,-0.4,-0.9408,-1.06
0,0,-1.2708,-0.4,-0.6508,-1.16
0,0,-1.2708,-0.4,-0.8408,-0.99
0,0,-1.2708,-0.4,-0.9308,-1.18
0,0,-1.2708,-0.4,-0.4408,-0.91
0,0,-1.2708,-0.4,-0.5408,-0.68
0,0,-1.2708,-0.4,-0.8208,-1.42
0,0,-1.2708,-0.4,-0.7508,-0.96
0,0,-1.2708,-0.4,-1.0208,-0.99
0,0,-1.2708,-0.4,-0.6308,-1.12
0,0,-1.2708,-0.4,-0.8508,-1.27
0,0,-1.2708,-0.4,-0.8408,-0.91
0,0,-1.2708,-0.4,-0.9408,-1.19
0,0,-1.2708,-0.4,-0.9408,-1.02
0,0,-1.2708,-0.4,-0.7008,-1.23
0,0,-1.2708,-0.4,-0.8408,-1.14
0,0,-1.2708,-0.4,-0.8008,-1.15
0,0,-1.2708,-0.4,-0.7508,-0.92
0,0,-1.2708,-0.4,-0.5808,-1.06
0,0,-1.2708,-0.4,-0.8108,-1.06
0,0,-1.2708,-0.4,-0.6008,-1.16
0,0,-1.2708,-0.4,-0.7908,-0.87
0,0,-1.2708,-0.4,-0.6708,-0.72
0,0,-1.2708,-0.4,-0.4708,-1.09
0,0,-1.2708,-0.4,-0.7208,-0.93
0,0,-1.2708,-0.4,-0.9408,-1.25
0,0,-1.2708,-0.4,-0.6108,-0.83
0,0,-1.2708,-0.4,-0.8008,-0.8
0,0,-1.2708,-0.4,-0.9008,-1.26
0,0,-1.4708,-0.5,-0.4008,-1.01
0,0,-1.4708,-0.5,-0.2508,-1.3
0,0,-1.4708,-0.5,-0.8208,-1.06
0,0,-1.4708,-0.5,-0.3408,-1
0,0,-1.4708,-0.5,0.0592,-1.29
0,0,-1.4708,-0.5,-0.6008,-1.18
0,0,-1.4708,-0.5,-0.6008,-1.12
0,0,-1.4708,-0.5,0.1992,-0.99
0,0,-1.4708,-0.5,-0.2208,-0.84
0,0,-1.4708,-0.5,-0.3508,-0.96
0,0,-1.4708,-0.5,-0.0808,-0.79
0,0,-1.4708,-0.5,-0.2608,-0.9
0,0,-1.4708,-0.5,-0.5908,-1.19
0,0,-1.4708,-0.5,-0.0608,-0.78
0,0,-1.4708,-0.5,-0.2908,-1
0,0,-1.4708,-0.5,-0.1408,-1.25
0,0,-1.4708,-0.5,-0.2108,-1.05
0,0,-1.4708,-0.5,-0.7508,-0.96
0,0,-1.4708,-0.5,0.0692,-1.29
0,0,-1.4708,-0.5,-0.3008,-1.14
0,0,-1.4708,-0.5,-0.3208,-1.08
0,0,-1.4708,-0.5,-0.5408,-0.98
0,0,-1.4708,-0.5,0.0492,-0.85
0,0,-1.4708,-0.5,-0.2208,-0.95
0,0,-1.4708,-0.5,-0.2208,-0.98
0,0,-1.4708,-0.5,-0.5808,-0.57
0,0,-1.4708,-0.5,-0.2608,-0.8
0,0,-1.4708,-0.5,-0.3208,-0.9
0,0,-1.4708,-0.5,-0.1508,-0.92
0,0,-1.4708,-0.5,-0.5608,-1.01
0,0,-1.4708,-0.5,-0.2508,-1.32
0,0,0.2292,-0.5,0.0392,-0.98
0,0,0.2292,-0.5,0.5592,-0.61
0,0,0.2292,-0.5,0.2892,-1.03
0,0,0.2292,-0.5,0.6992,-1.12
0,0,0.2292,-0.5,0.3492,-1.05
0,0,0.2292,-0.5,-0.0108,-1.22
0,0,0.2292,-0.5,0.2892,-1.15
0,0,0.2292,-0.5,0.4092,-1.04
0,0,0.2292,-0.5,0.5592,-1.01
0,0,0.2292,-0.5,0.5892,-1.17
0,0,0.2292,-0.5,0.3792,-0.6
0,0,0.2292,-0.5,0.3092,-0.79
0,0,0.2292,-0.5,0.2292,-0.69
0,0,0.2292,-0.5,0.3192,-1.14
0,0,0.2292,-0.5,0.2792,-0.83
0,0,0.2292,-0.5,0.3392,-0.91
0,0,0.2292,-0.5,0.5492,-1.37
0,0,0.2292,-0.5,0.4592,-1.25
0,0,0.2292,-0.5,0.5892,-1.63
0,0,0.2292,-0.5,0.4992,-1
0,0,0.2292,-0.5,0.7692,-0.71
0,0,0.2292,-0.5,0.3792,-1.13
0,0,0.2292,-0.5,0.4192,-1.11
0,0,0.2292,-0.5,0.5092,-0.84
0,0,0.2292,-0.5,0.2992,-0.8
0,0,0.2292,-0.5,0.7192,-0.97
0,0,0.2292,-0.5,0.5292,-0.93
0,0,0.2292,-0.5,0.6492,-0.8
0,0,0.2292,-0.5,0.0392,-0.9
0,0,0.2292,-0.5,-0.0408,-0.88
0,0,0.2292,-0.5,-0.4108,-0.96
0,0,0.7292,-0.5,0.5392,-0.63
0,0,0.7292,-0.5,1.0092,-1.3
0,0,0.7292,-0.5,0.4892,-1.3
0,0,0.7292,-0.5,0.3292,-1.41
0,0,0.7292,-0.5,1.0192,-0.94
0,0,0.7292,-0.5,0.9792,-1.17
0,0,0.7292,-0.5,0.4492,-1.37
0,0,0.7292,-0.5,0.9792,-1.19
0,0,0.7292,-0.5,0.9792,-1.07
0,0,0.7292,-0.5,0.7192,-0.92
0,0,0.7292,-0.5,0.5992,-1.11
0,0,0.7292,-0.5,0.8192,-0.71
0,0,0.7292,-0.5,0.4292,-0.98
0,0,0.7292,-0.5,0.6092,-0.98
0,0,0.7292,-0.5,0.9692,-1.46
0,0,0.7292,-0.5,0.7392,-0.71
0,0,0.7292,-0.5,0.5192,-1.1
0,0,0.7292,-0.5,0.9492,-1.04
0,0,0.7292,-0.5,1.0692,-1.3
0,0,0.7292,-0.5,0.6392,-0.81
0,0,0.7292,-0.5,0.8092,-0.93
0,0,0.7292,-0.5,0.7992,-1.08
0,0,0.7292,-0.5,0.9592,-0.87
0,0,0.7292,-0.5,0.8592,-1.07
0,0,0.7292,-0.5,0.7792,-1.03
0,0,0.7292,-0.5,0.5392,-0.65
0,0,0.7292,-0.5,0.7792,-1.36
0,0,0.7292,-0.5,0.7992,-1.07
0,0,0.7292,-0.5,0.7192,-0.77
0,0,0.7292,-0.5,0.6592,-1.13
0,0,0.7292,-0.5,0.5492,-0.79
0,0,1.0292,-0.5,0.8092,-0.81
0,0,1.0292,-0.5,0.7592,-0.85
0,0,1.0292,-0.5,0.8492,-0.62
0,0,1.0292,-0.5,0.4292,-1.44
0,0,1.0292,-0.5,0.5292,-0.9
0,0,1.0292,-0.5,0.0992,-0.85
0,0,1.0292,-0.5,0.4292,-0.49
0,0,1.0292,-0.5,0.7092,-0.82
0,0,1.0292,-0.5,0.9592,-0.96
0,0,1.0292,-0.5,0.6592,-1.34
0,0,1.0292,-0.5,0.5792,-1.01
0,0,1.0292,-0.5,0.7692,-0.9
0,0,1.0292,-0.5,0.5092,-0.71
0,0,1.0292,-0.5,0.6792,-1.1
0,0,1.0292,-0.5,0.8792,-0.65
0,0,1.0292,-0.5,0.8292,-0.8
0,0,1.0292,-0.5,0.6392,-1.02
0,0,1.0292,-0.5,0.6692,-1.03
0,0,1.0292,-0.5,0.5992,-0.93
0,0,1.0292,-0.5,0.5892,-0.69
0,0,1.0292,-0.5,0.7392,-0.81
0,0,1.0292,-0.5,0.6692,-0.72
0,0,1.0292,-0.5,0.5392,-0.92
0,0,1.0292,-0.5,0.9392,-1.13
0,0,1.0292,-0.5,0.9592,-0.89
0,0,1.0292,-0.5,0.8492,-0.82
0,0,1.0292,-0.5,0.4592,-0.73
0,0,1.0292,-0.5,0.9692,-0.93
0,0,1.0292,-0.5,0.6492,-1.11
0,0,1.0292,-0.5,0.7792,-0.98
0,0,1.0292,-0.5,0.8392,-0.79
0,0,1.4292,-0.6,0.1592,-1.47
0,0,1.4292,-0.6,0.1892,-0.89
0,0,1.4292,-0.6,0.4492,-0.99
0,0,1.4292,-0.6,0.0992,-1.05
