Iteration,Modelname,Metricname,Joint,Result
1,5-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.001554605518849592
1,1-Channel CNN,Mean Square Error,0,0.6968011648770078
1,1-Channel CNN,Mean Square Error,3,0.03315280566888112
1,1-Channel CNN,R squared,0,0.23697795864047944
1,1-Channel CNN,R squared,3,0.9333674646245413
1,1-Channel CNN,Standard Deviation of Error,0,0.8316214601794282
1,1-Channel CNN,Standard Deviation of Error,3,0.18140065645769826
1,1-Channel CNN,Standard deviation per Recording (avg),0,0.4919894444090979
1,1-Channel CNN,Standard deviation per Recording (avg),3,0.1509733715405067
1,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.5592693354061407
1,1-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.008550330353672756
1,2-Channel CNN,Mean Square Error,0,0.5663588617494296
1,2-Channel CNN,Mean Square Error,3,0.023257031257537922
1,2-Channel CNN,R squared,0,0.3798169167665184
1,2-Channel CNN,R squared,3,0.9532565969386222
1,2-Channel CNN,Standard Deviation of Error,0,0.7498114037004034
1,2-Channel CNN,Standard Deviation of Error,3,0.14792194491019645
1,2-Channel CNN,Standard deviation per Recording (avg),0,0.47341604424374445
1,2-Channel CNN,Standard deviation per Recording (avg),3,0.13062080771972737
1,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.4815390594636611
1,2-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0027205596579867857
1,3-Channel CNN,Mean Square Error,0,0.44617389795681545
1,3-Channel CNN,Mean Square Error,3,0.013315740509489984
1,3-Channel CNN,R squared,0,0.5114237237527655
1,3-Channel CNN,R squared,3,0.9732372107685038
1,3-Channel CNN,Standard Deviation of Error,0,0.6678806909378324
1,3-Channel CNN,Standard Deviation of Error,3,0.11538493820637592
1,3-Channel CNN,Standard deviation per Recording (avg),0,0.4938706415040152
1,3-Channel CNN,Standard deviation per Recording (avg),3,0.10776943247765303
1,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.39448115040808396
1,3-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.0
1,4-Channel CNN,Mean Square Error,0,0.36630398522010876
1,4-Channel CNN,Mean Square Error,3,0.013102501755079517
1,4-Channel CNN,R squared,0,0.598884116948758
1,4-Channel CNN,R squared,3,0.9736657910518314
1,4-Channel CNN,Standard Deviation of Error,0,0.6051787990942893
1,4-Channel CNN,Standard Deviation of Error,3,0.11036475990272106
1,4-Channel CNN,Standard deviation per Recording (avg),0,0.4558372327259609
1,4-Channel CNN,Standard deviation per Recording (avg),3,0.10284381235639255
1,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),0,0.33812670034978626
1,4-Channel CNN,Ratio of Outliers (>= 0.5 rad),3,0.000777302759424796
2,kNN,Mean Square Error,0,0.8836057909055578
2,kNN,Mean Square Error,3,0.1372530897784687
2,kNN,R squared,0,-0.044378535394764995
2,kNN,R squared,3,0.770348111247803
2,kNN,Standard Deviation of Error,0,0.9361080593125605
2,kNN,Standard Deviation of Error,3,0.34077094164865895
2,kNN,Standard deviation per Recording (avg),0,0.2968280160531277
2,kNN,Standard deviation per Recording (avg),3,0.1389604324884301
2,kNN,Ratio of Outliers (>= 0.5 rad),0,0.6638165565487757
2,kNN,Ratio of Outliers (>= 0.5 rad),3,0.18849591916051303
2,Linear,Mean Square Error,0,0.6901695136997485
2,Linear,Mean Square Error,3,0.034143742948866775
2,Linear,R squared,0,0.18425361930555595
2,Linear,R squared,3,0.9428706845876279
2,Linear,Standard Deviation of Error,0,0.8296370484919688
2,Linear,Standard Deviation of Error,3,0.18477995747699394
2,Linear,Standard deviation per Recording (avg),0,0.39626563933514086
2,Linear,Standard deviation per Recording (avg),3,0.16787658716185327
2,Linear,Ratio of Outliers (>= 0.5 rad),0,0.6012436844150797
2,Linear,Ratio of Outliers (>= 0.5 rad),3,0.0058297706956859695
2,3-Layer FC,Mean Square Error,0,0.6625329929327465
2,3-Layer FC,Mean Square Error,3,0.02534592254893705
2,3-Layer FC,R squared,0,0.2169186260077739
2,3-Layer FC,R squared,3,0.9575911988945008
2,3-Layer FC,Standard Deviation of Error,0,0.8117403996775082
2,3-Layer FC,Standard Deviation of Error,3,0.15885120903428585
2,3-Layer FC,Standard deviation per Recording (avg),0,0.4610071788231532
2,3-Layer FC,Standard deviation per Recording (avg),3,0.1434653127193451
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5728721336960746
2,3-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.001554605518849592
2,4-Layer FC,Mean Square Error,0,0.6454329071235699
2,4-Layer FC,Mean Square Error,3,0.0232881919166901
2,4-Layer FC,R squared,0,0.2371300854123235
2,4-Layer FC,R squared,3,0.9610341940722524
2,4-Layer FC,Standard Deviation of Error,0,0.8015512108882173
2,4-Layer FC,Standard Deviation of Error,3,0.15243016212017851
2,4-Layer FC,Standard deviation per Recording (avg),0,0.4430936922629674
2,4-Layer FC,Standard deviation per Recording (avg),3,0.12851474195718765
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),0,0.5561601243684415
2,4-Layer FC,Ratio of Outliers (>= 0.5 rad),3,0.001165954139137194
